actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
10614,1592100,0.28489718,0.06046776,0.103900805,0.10907264,150,0.0,0.3923495,0.61190397,0.57594013,0.5718071,0.6772467,0.6723717,0.6798409,0.6808798,0.36172286,0.48420587,0.38373154,0.39507347,311.771996271495,0.0,0.031
10697,1604550,0.09004122,0.19542977,0.1137053,0.1084344,150,0.0,0.6188352,0.4954905,0.5658916,0.57219386,0.70887643,0.69092023,0.67959696,0.6806283,0.28631252,0.33549392,0.35060933,0.38877717,312.7628414366064,0.0,0.038
10779,1616850,0.12850362,0.21093962,0.17247935,0.11478592,150,0.0,0.5449979,0.4697032,0.5086058,0.5661047,0.6735015,0.6806428,0.6810851,0.6808907,0.3455857,0.3672099,0.34419528,0.38059598,275.81620950517134,0.0,0.039
10863,1629450,0.4167245,0.13743392,0.16002567,0.119871244,150,0.0,0.26101917,0.5380615,0.5215204,0.561131,0.6777437,0.67549545,0.681546,0.6810022,0.25665933,0.32633933,0.3243142,0.3708883,323.10188192819965,0.0,0.048
10945,1641750,0.2901148,0.18991803,0.19043683,0.12705737,150,0.0,0.42316988,0.4867889,0.49146634,0.55362326,0.7132847,0.6767069,0.68190324,0.68068063,0.31176528,0.3373562,0.3271405,0.3618726,304.785527152092,0.0,0.052
11027,1654050,0.3140515,0.26018304,0.20721169,0.13284686,150,0.0,0.3949312,0.42549592,0.47386855,0.5476714,0.7089827,0.68567884,0.6810802,0.68051827,0.38269776,0.31056124,0.32593575,0.35937372,319.22988517994764,0.0,0.051
11108,1666200,0.19035953,0.18845788,0.23433365,0.1439811,150,0.0,0.5204851,0.4967896,0.4483068,0.5367698,0.71084464,0.68524754,0.6826404,0.6807509,0.28214645,0.32729095,0.32028806,0.3521575,289.9984742880664,0.0,0.051
11200,1680000,0.25469184,0.16049619,0.19131403,0.1515355,150,0.0,0.41528767,0.5200675,0.48893315,0.5290996,0.6699795,0.6805636,0.6802471,0.68063515,0.26124385,0.33998832,0.33228606,0.34854382,291.45542968377225,0.0,0.05
11278,1691700,0.37829506,0.16774796,0.17422606,0.1567722,150,0.0,0.3183843,0.5118099,0.50365096,0.5235576,0.69667935,0.67955786,0.67787695,0.68032986,0.2646017,0.37698516,0.32663405,0.3432971,290.49055223833733,0.0,0.049
11354,1703100,0.2739632,0.18493228,0.20124587,0.16744381,150,0.0,0.38687563,0.49916473,0.4812459,0.5131821,0.66083884,0.68409693,0.68249184,0.680626,0.251016,0.34057263,0.3201336,0.3370953,285.38400894873257,0.0,0.045
11432,1714800,0.29466513,0.3007286,0.22959445,0.17897555,150,0.0,0.36426082,0.38249508,0.45172414,0.50184816,0.65892595,0.6832236,0.6813186,0.68082374,0.24761115,0.28338373,0.30663678,0.33199474,297.0669421651499,0.0,0.044
11520,1728000,0.01786226,0.11392454,0.19211334,0.18040572,150,0.0,0.6551719,0.5796074,0.4922102,0.5006689,0.67303413,0.693532,0.68432343,0.68107456,0.4245373,0.31907243,0.3077948,0.3291742,315.1484185865483,0.0,0.041
11599,1739850,-0.03683889,0.24234569,0.1898028,0.18866406,150,0.0,0.6900203,0.43168813,0.49363068,0.49251503,0.65318143,0.67403376,0.6834335,0.6811791,0.272335,0.24675854,0.31438136,0.32410043,326.3995617193385,0.0,0.028
11679,1751850,0.28735662,0.17307243,0.23968889,0.19925521,150,0.0,0.42870694,0.50432765,0.43836725,0.4819274,0.71606356,0.6774001,0.6780561,0.68118256,0.21471556,0.29309264,0.28219256,0.31869116,336.9104694930965,0.0,0.016
11771,1765650,0.3342929,0.19890611,0.19066785,0.2003279,150,0.0,0.36269534,0.4773373,0.49051204,0.48085672,0.6969882,0.6762434,0.6811799,0.68118465,0.2517338,0.29418677,0.30302355,0.31601045,306.5122929754774,0.0,0.016
11847,1777050,0.23188499,0.1978953,0.22445431,0.20516038,150,0.0,0.445433,0.4758018,0.45893344,0.47620317,0.677318,0.6736971,0.6833877,0.6813635,0.36293423,0.29302073,0.29359508,0.31325528,296.0257506327321,0.0,0.009
11925,1788750,0.25215155,0.13305403,0.19761786,0.20479074,150,0.0,0.42827052,0.54708874,0.4828822,0.47638875,0.68042207,0.68014276,0.6805001,0.68117946,0.31214482,0.3413661,0.29978478,0.311074,303.42921052872725,0.0,0.007
12010,1801500,-0.0021096468,0.0979959,0.19095823,0.20392397,150,0.0,0.66147137,0.58820164,0.49134314,0.47738072,0.6593617,0.6861976,0.68230146,0.6813047,0.3591831,0.3102277,0.30057123,0.3088173,262.20004525967425,0.0,0.007
12087,1813050,-0.018500865,0.22414216,0.16541903,0.19877668,150,0.0,0.6888042,0.45020437,0.5156169,0.4823393,0.67030334,0.67434657,0.68103594,0.681116,0.3254119,0.29195166,0.3068391,0.30816773,296.689960948792,0.0,0.007
12163,1824450,0.08036417,0.19537322,0.1896455,0.19907185,150,0.0,0.57686156,0.49077,0.49193993,0.4821555,0.6572257,0.6861433,0.68158555,0.68122727,0.2465616,0.32194498,0.2923977,0.30513728,309.92577296023427,0.0,0.008
12241,1836150,0.23634228,0.16142717,0.20097685,0.19972377,150,0.0,0.44708887,0.5186742,0.47900528,0.48161128,0.68343115,0.6801013,0.67998207,0.6813351,0.32170638,0.2603133,0.28611064,0.30116412,286.5462813169516,0.0,0.01
12321,1848150,0.119276345,0.17260452,0.20248407,0.20052218,150,0.0,0.5468249,0.4984332,0.4798167,0.48102847,0.6661012,0.6710378,0.6823008,0.6815507,0.29736176,0.29476437,0.29480973,0.29920074,283.95493337630035,0.0,0.013
12396,1859400,0.3295217,0.2045835,0.21607494,0.20145856,150,0.0,0.37856337,0.4814005,0.46467757,0.4798842,0.70808506,0.68598396,0.6807525,0.6813428,0.23741874,0.24255712,0.28658524,0.2975883,292.78014879469043,0.0,0.013
12113,1816950,0.08908522,0.0,0.0,0.0,150,0.0,3084,462600,0.5901721,0.67999077,0.67999077,0.67999077,0.67925733,0.67999077,0.67999077,0.67999077,28187,1483.6276924610138,0.27855366,0.67999077,0.67999077,0.67999077,26.546272651936967,0.0,nan
12458,1868700,-0.04011923,0.056173224,0.056173224,0.056173224,150,0.0,3172,475800,0.70913273,0.6370788,0.6370788,0.6370788,0.6690135,0.693252,0.693252,0.693252,28799,1518.6676626205444,0.63523376,0.5637905,0.5637905,0.5637905,24.128501130785715,0.0,0.0
12749,1912350,-0.014266789,-3.8335722e-05,-3.8335722e-05,-3.8335722e-05,150,0.0,3246,486900,0.6832803,0.689081,0.689081,0.689081,0.6690135,0.6890426,0.6890426,0.6890426,29296,1547.202665090561,0.32868192,0.5069368,0.5069368,0.5069368,24.026283330042098,0.0,0.0
12824,1923600,0.13826984,0.066240035,0.12114684,0.12114684,150,0.0,3264,489600,0.56914693,0.6103763,0.5617642,0.5617642,0.7074168,0.6766164,0.68291104,0.68291104,29297,1547.202665090561,0.2989301,0.25868174,0.30577517,0.30577517,280.76052876080723,0.0,0.07228915662650602
12903,1935450,0.44323772,0.12508184,0.12507008,0.12378343,150,0.0,3284,492600,0.22406505,0.5545162,0.55443925,0.55737627,0.6673028,0.67959803,0.6795093,0.68115973,29475,1557.8222603797913,0.22406505,0.31359142,0.29233655,0.30299017,303.1181178842145,0.0,0.043478260869565216
12986,1947900,0.33834195,0.25500357,0.16216095,0.13548294,150,6.0,3306,495900,0.3383559,0.4264589,0.520734,0.5466543,0.67669785,0.68146247,0.6828948,0.68213725,29667,1567.9849216938019,0.16371873,0.22095087,0.29335344,0.29934812,274.15029807489935,0.0,0.05907172995780591
13062,1959300,0.25718,0.18141115,0.1953385,0.15437911,150,0.0,3325,498750,0.44140616,0.5014108,0.4881258,0.52786946,0.69858617,0.6828219,0.6834643,0.68224853,29850,1578.437752008438,0.18748103,0.21941178,0.24910675,0.28455102,290.07094258616087,0.0,0.06389776357827476
13137,1970550,0.34024817,0.18886468,0.19937351,0.16338919,150,0.0,3342,501300,0.31362903,0.49674898,0.48466808,0.51932263,0.6538772,0.68561363,0.6840416,0.6827118,30015,1587.785950422287,0.28555122,0.21972695,0.20838065,0.26763576,276.6502722989418,0.0,0.08226221079691516
13214,1982100,0.25408813,0.3133296,0.22524045,0.17546608,150,0.0,3361,504150,0.45946893,0.3688753,0.45630482,0.50693727,0.71355706,0.6822049,0.6815452,0.6824033,30205,1598.2627460956573,0.27533633,0.19273451,0.21225414,0.25750983,274.88239372836455,0.0,0.11538461538461539
13294,1994100,0.36356556,0.24475606,0.25648537,0.18683448,150,0.0,3383,507450,0.29276758,0.4312201,0.42261544,0.49496004,0.65633315,0.67597616,0.67910075,0.6817946,30394,1608.4315345287323,0.15290152,0.16419116,0.18597488,0.2460248,295.7906831982759,0.0,0.14495412844036698
13377,2006550,0.16537708,0.21815388,0.26937136,0.19804747,150,73.0,3403,510450,0.5417592,0.4518898,0.41246533,0.4837933,0.7071363,0.6700437,0.6818367,0.6818408,30577,1618.5641169548035,0.05776875,0.11314573,0.13666196,0.23062296,309.13283493719274,1.0,0.2128
13455,2018250,0.60747784,0.2694089,0.2797666,0.20811437,150,95.0,3421,513150,0.077610485,0.4224721,0.40479916,0.47421873,0.68508834,0.69188106,0.6845658,0.68233305,30757,1628.1249749660492,0.05419412,0.13746166,0.11729217,0.21838455,297.9908037353431,1.0,0.26874115983026875
13542,2031300,0.3234683,0.27104205,0.27337325,0.21581721,150,68.0,3444,516600,0.34167972,0.40098816,0.40522662,0.4659901,0.665148,0.6720302,0.67859995,0.6818073,30973,1639.55881357193,0.055362385,0.08474436,0.15402062,0.21171695,294.1353906513708,1.0,0.30798479087452474
13620,2043000,0.111349225,0.24852386,0.2595905,0.2207354,150,0.0,3465,519750,0.5729846,0.4262669,0.42115998,0.46103418,0.6843338,0.67479074,0.6807505,0.6817696,31148,1648.9253318309784,0.060739413,0.14903918,0.14498208,0.20544486,293.4419019216696,1.0,0.33256616800920596
13704,2055600,0.6062924,0.49095005,0.3278848,0.22988638,150,0.0,3486,522900,0.057363193,0.19958363,0.35675606,0.45220733,0.66365564,0.69053376,0.6846409,0.6820937,31343,1659.3126711845398,0.05711518,0.050126843,0.1209976,0.19825907,270.8788263543283,1.0,0.3659305993690852
13784,2067600,0.52077115,0.22157428,0.2600764,0.23502833,150,0.0,3503,525450,0.19379841,0.46114334,0.4216261,0.4469682,0.71456957,0.6827177,0.68170244,0.6819966,31537,1669.6353108882904,0.08707695,0.17907032,0.1536188,0.18913536,272.88722910065644,1.0,0.393
13861,2079150,0.59321976,0.18099257,0.2663795,0.24750543,150,30.0,3525,528750,0.066048935,0.5037311,0.4186845,0.4346894,0.6592687,0.6847237,0.6850641,0.6821948,31713,1678.875197649002,0.066048935,0.1779543,0.15555187,0.17846106,270.9215185490924,1.0,0.439
13942,2091300,0.27293333,0.2943608,0.22760554,0.25347513,150,0.0,3546,531900,0.39109346,0.37890387,0.45417178,0.42873162,0.6640268,0.6732646,0.68177736,0.68220675,31910,1689.3909599781036,0.24322167,0.11191835,0.16716541,0.16733819,298.55488271026996,0.0,0.491
14028,2104200,0.48285225,0.29580593,0.24950823,0.25853646,150,7.0,3565,534750,0.17511508,0.3838992,0.43144447,0.4234469,0.6579673,0.67970514,0.6809528,0.68198335,32101,1699.607978105545,0.061751526,0.16399242,0.15943667,0.15862769,306.0091343745288,1.0,0.539
14117,2117550,0.020699024,0.19711784,0.24627548,0.26218548,150,0.0,3588,538200,0.65019697,0.4842886,0.43620768,0.41966045,0.670896,0.68140644,0.68248314,0.6818459,32315,1711.093563079834,0.059865624,0.094023585,0.16717987,0.15491991,290.4310125156492,1.0,0.57
14204,2130600,0.55042386,0.19524989,0.25627893,0.26560682,150,96.0,3610,541500,0.120039776,0.4868483,0.42565933,0.4162716,0.6704636,0.6820982,0.68193835,0.68187845,32509,1721.2772524356842,0.04699769,0.23137505,0.15868795,0.15166736,294.4649653744409,1.0,0.601
14275,2141250,0.09406984,0.26798126,0.27266052,0.2672765,150,0.0,3628,544200,0.57585293,0.41340986,0.40986425,0.41491544,0.66992277,0.6813911,0.6825248,0.6821919,32682,1730.592042684555,0.056645624,0.13275105,0.1487615,0.14702865,323.4249406249036,1.0,0.632
14362,2154300,0.004390061,0.23772514,0.3120351,0.270959,150,0.0,3650,547500,0.6791546,0.44493538,0.3683109,0.41108742,0.68354464,0.6826605,0.6803461,0.6820464,32890,1741.8885517120361,0.27402085,0.099997364,0.111024626,0.14464077,300.32034712625574,0.0,0.647
14443,2166450,0.3128366,0.2496789,0.26752672,0.268497,150,0.0,3669,550350,0.40090597,0.42965811,0.41469902,0.41335315,0.71374255,0.679337,0.68222564,0.68185014,33079,1752.3078453540802,0.05139895,0.09451277,0.10535522,0.14412755,286.46591070524426,1.0,0.647
