actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
1573,235950,0.18169206,150,0.0,400,60000,0.4795797,0.66127175,0.45107064,302.2764944810071,0.0,0.0
1581,237150,0.16782373,150,0.0,402,60300,0.53055906,0.6983828,0.5048991,271.03519669628986,0.0,0.0
1593,238950,0.1797624,150,0.0,405,60750,0.4877756,0.667538,0.46012607,278.8365500699368,0.0,0.0
1602,240300,0.17986977,150,0.0,407,61050,0.5269194,0.7067892,0.50882643,288.89282765676273,0.0,0.0
1611,241650,0.16040081,150,0.0,409,61350,0.53334415,0.69374496,0.50774586,290.61655114753114,0.0,0.0
1619,242850,0.14764231,150,0.0,411,61650,0.5423158,0.6899581,0.5165077,268.01315303502577,0.0,0.0
1627,244050,0.15509874,150,0.0,413,61950,0.5193567,0.67445546,0.49313053,285.75731782758425,0.0,0.0
1635,245250,0.18186048,150,0.0,415,62250,0.47896716,0.66082764,0.45041934,288.0083498514514,0.0,0.0
1643,246450,0.17987704,150,0.0,417,62550,0.486243,0.66612005,0.4581488,280.0195122645977,0.0,0.0
1651,247650,0.18039799,150,0.0,419,62850,0.52860606,0.70900404,0.5098089,273.876766564295,0.0,0.0
1659,248850,0.1827864,150,0.0,421,63150,0.47561723,0.65840364,0.44685546,278.36564178960515,0.0,0.0
1668,250200,0.16783965,150,0.0,423,63450,0.5172011,0.6850408,0.4915938,288.0427651383178,0.0,0.0
1674,251100,0.17858118,150,0.0,425,63750,0.47552472,0.6541059,0.446757,284.2800590478867,0.0,0.0
1683,252450,0.17981881,150,0.0,427,64050,0.4864586,0.6662774,0.4583776,274.08592369540895,0.0,0.0
1694,254100,0.17949858,150,0.0,430,64500,0.4889048,0.6684034,0.4614278,274.2050221514229,0.0,0.0
1703,255450,0.17154658,150,0.0,432,64800,0.5059659,0.67751247,0.47861242,300.5259180637808,0.0,0.0
1714,257100,0.16686577,150,0.0,435,65250,0.5248557,0.69172144,0.49695712,320.05551092998616,0.0,0.0
1723,258450,0.15137786,150,0.0,438,65700,0.53952825,0.6909061,0.51333845,338.4615881203267,0.0,0.0
1736,260400,0.17374706,150,0.0,441,66150,0.5364704,0.7102175,0.5082067,311.0536940325626,0.0,0.0
1744,261600,0.1826595,150,0.0,443,66450,0.47607458,0.6587341,0.4473422,284.695952641901,0.0,0.0
1752,262800,0.17833021,150,0.0,446,66900,0.49201414,0.67034435,0.46426928,336.10808529506824,0.0,0.0
1761,264150,0.18173286,150,0.0,448,67200,0.47943118,0.66116405,0.45091274,265.1315911462328,0.0,0.0
1772,265800,0.17639887,150,0.0,450,67500,0.5042717,0.68067056,0.47626495,287.9030453459048,0.0,0.0
1779,266850,0.18034557,150,0.0,452,67800,0.4845117,0.66485727,0.45631087,284.7540660847683,0.0,0.0
1788,268200,0.17111099,150,0.0,454,68100,0.542237,0.713348,0.51719356,270.4052173980316,0.0,0.0
1798,269700,0.15321487,150,0.0,456,68400,0.51841545,0.6716303,0.49738288,275.3637549348296,0.0,0.0
1804,270600,0.17242026,150,0.0,458,68700,0.5344999,0.70692015,0.51406795,300.6113564659726,0.0,0.0
1812,271800,0.17031503,150,0.0,460,69000,0.54331434,0.71362936,0.51845855,288.643784515115,0.0,0.0
1822,273300,0.18159708,150,0.0,462,69300,0.47557077,0.65716785,0.44680613,250.53903203608837,0.0,0.0
1830,274500,0.16306043,150,0.0,464,69600,0.5390606,0.702121,0.5103114,283.240457365744,0.0,0.0
1838,275700,0.1703285,150,0.0,466,69900,0.5179133,0.6882418,0.49398565,291.01808705209083,0.0,0.0
1846,276900,0.14718622,150,0.0,468,70200,0.5392111,0.6863973,0.5039108,282.9960956476367,0.0,0.0
1850,277500,0.17745891,150,0.0,470,70500,0.49614087,0.6735998,0.4727457,320.4474019971121,0.0,0.0
1859,278850,0.14223874,150,0.0,472,70800,0.53670114,0.6789399,0.5069736,291.2264833490794,0.0,0.0
1869,280350,0.17191261,150,0.0,475,71250,0.5058477,0.6777603,0.47745135,308.9476359190047,0.0,0.0
1878,281700,0.15059906,150,0.0,477,71550,0.52620906,0.6768081,0.49544582,313.6212730575434,0.0,0.0
1886,282900,0.16136265,150,0.0,479,71850,0.5341324,0.69549507,0.514201,281.5218529426768,0.0,0.0
1894,284100,0.17827523,150,0.0,481,72150,0.5264355,0.7047107,0.50944805,277.20672015650405,0.0,0.0
1904,285600,0.17816481,150,0.0,484,72600,0.4929025,0.6710673,0.46538717,281.66692110808714,0.0,0.0
1912,286800,0.16199648,150,0.0,486,72900,0.5424389,0.7044354,0.5153762,269.46248892311473,0.0,0.0
1922,288300,0.17278928,150,0.0,488,73200,0.5423507,0.71514,0.51731306,285.9950323840556,0.0,0.0
1930,289500,0.14576179,150,0.0,490,73500,0.5312015,0.67696327,0.50139743,285.6594891465435,0.0,0.0
1938,290700,0.1638977,150,0.0,492,73800,0.51353365,0.67743134,0.4866548,278.94979533636484,0.0,0.0
1946,291900,0.18044189,150,0.0,494,74100,0.48415676,0.66459864,0.455934,302.3566829392072,0.0,0.0
1955,293250,0.17927182,150,0.0,496,74400,0.47487646,0.6541483,0.44606698,289.05130415126797,0.0,0.0
1965,294750,0.14555115,150,0.0,499,74850,0.53331244,0.6788636,0.5057635,289.94274379970284,0.0,0.0
1974,296100,0.18019277,150,0.0,501,75150,0.5306463,0.7108391,0.5109613,247.43861973002004,0.0,0.0
1981,297150,0.17013437,150,0.0,503,75450,0.5432766,0.713411,0.5182834,303.89132385772484,0.0,0.0
1989,298350,0.16669667,150,0.0,505,75750,0.52881265,0.6955093,0.49835843,289.5460333779901,0.0,0.0
1997,299550,0.17967576,150,0.0,507,76050,0.4869889,0.66666466,0.45894033,284.49357844462793,0.0,0.0
2006,300900,0.17895257,150,0.0,509,76350,0.48900014,0.6679527,0.46113902,314.36657552645465,0.0,0.0
2015,302250,0.17343926,150,0.0,512,76800,0.5290454,0.70248467,0.5110671,284.8907454576329,0.0,0.0
2024,303600,0.16678631,150,0.0,514,77100,0.53928787,0.7060742,0.51481,296.2867241050468,0.0,0.0
2033,304950,0.15673107,150,0.0,517,77550,0.53520817,0.69193923,0.51511073,290.34389251363007,0.0,0.0
2049,307350,0.16231668,150,0.0,520,78000,0.53705806,0.69937474,0.5118834,306.2801128057285,0.0,0.0
2057,308550,0.18076563,150,0.0,523,78450,0.49258548,0.6733511,0.46342176,307.80448713244465,0.0,0.0
2072,310800,0.14409065,150,0.0,526,78900,0.530915,0.6750057,0.50689083,293.41658404089907,0.0,0.0
2084,312600,-0.27152276,150,0.0,529,79350,0.9329267,0.66140395,0.4512689,286.75956012421244,0.0,0.0
2093,313950,0.17016798,150,0.0,531,79650,0.51519346,0.68536144,0.49066612,271.1034026591287,0.0,0.0
2102,315300,0.16631138,150,0.0,534,80100,0.5421897,0.7085011,0.51698464,307.7242431075206,0.0,0.0
2114,317100,-0.19063646,150,0.0,537,80550,0.870209,0.6795725,0.6777053,312.69910695114874,0.0,0.0
2126,318900,0.17968568,150,0.0,540,81000,0.48695222,0.6666379,0.4589014,289.15917815069196,0.0,0.0
2133,319950,-0.18916911,150,0.0,542,81300,0.8629013,0.67373216,0.5009154,270.95512186928687,0.0,0.0
2142,321300,0.16902345,150,0.0,545,81750,0.5325747,0.70159817,0.5118695,285.8700205833307,0.0,0.0
2158,323700,0.17045796,150,0.0,548,82200,0.5142777,0.68473566,0.48804063,302.9552245274342,0.0,0.0
2170,325500,0.17043936,150,0.0,551,82650,0.5176834,0.68812275,0.494017,320.0144863328469,0.0,0.0
2180,327000,0.1671223,150,0.0,554,83100,0.54142404,0.70854634,0.51533943,357.8910363070097,0.0,0.0
